UserID,Round,Coins
grqbhXEUIv,1,4
grqbhXEUIv,2,6
grqbhXEUIv,3,0
grqbhXEUIv,4,1
grqbhXEUIv,5,2
grqbhXEUIv,6,6
grqbhXEUIv,7,7
grqbhXEUIv,8,3
grqbhXEUIv,9,7
grqbhXEUIv,10,9
grqbhXEUIv,11,4
grqbhXEUIv,12,10
grqbhXEUIv,13,10
grqbhXEUIv,14,10
grqbhXEUIv,15,2
grqbhXEUIv,16,4
grqbhXEUIv,17,2
grqbhXEUIv,18,1
grqbhXEUIv,19,2
grqbhXEUIv,20,4
grqbhXEUIv,21,0
grqbhXEUIv,22,1
grqbhXEUIv,23,5
grqbhXEUIv,24,1
grqbhXEUIv,25,1
grqbhXEUIv,26,0
grqbhXEUIv,27,9
grqbhXEUIv,28,8
grqbhXEUIv,29,3
grqbhXEUIv,30,4
grqbhXEUIv,31,5
grqbhXEUIv,32,1
grqbhXEUIv,33,5
grqbhXEUIv,34,6
grqbhXEUIv,35,6
grqbhXEUIv,36,10
grqbhXEUIv,37,10
grqbhXEUIv,38,10
grqbhXEUIv,39,3
grqbhXEUIv,40,4
grqbhXEUIv,41,5
grqbhXEUIv,42,3
grqbhXEUIv,43,4
grqbhXEUIv,44,1
grqbhXEUIv,45,2
grqbhXEUIv,46,5
grqbhXEUIv,47,10
grqbhXEUIv,48,8
grqbhXEUIv,49,1
grqbhXEUIv,50,3
grqbhXEUIv,51,3
grqbhXEUIv,52,2
grqbhXEUIv,53,5
grqbhXEUIv,54,3
grqbhXEUIv,55,1
grqbhXEUIv,56,10
grqbhXEUIv,57,10
grqbhXEUIv,58,10
grqbhXEUIv,59,10
grqbhXEUIv,60,1
grqbhXEUIv,61,2
grqbhXEUIv,62,7
grqbhXEUIv,63,9
grqbhXEUIv,64,0
grqbhXEUIv,65,5
grqbhXEUIv,66,10
grqbhXEUIv,67,2
grqbhXEUIv,68,7
grqbhXEUIv,69,6
grqbhXEUIv,70,0
grqbhXEUIv,71,10
grqbhXEUIv,72,10
grqbhXEUIv,73,0
grqbhXEUIv,74,10
grqbhXEUIv,75,3
grqbhXEUIv,76,10
grqbhXEUIv,77,1
grqbhXEUIv,78,1
grqbhXEUIv,79,0
grqbhXEUIv,80,10
grqbhXEUIv,81,4
grqbhXEUIv,82,0
grqbhXEUIv,83,2
grqbhXEUIv,84,6
grqbhXEUIv,85,1
grqbhXEUIv,86,10
grqbhXEUIv,87,3
grqbhXEUIv,88,1
grqbhXEUIv,89,2
grqbhXEUIv,90,10
grqbhXEUIv,91,2
grqbhXEUIv,92,10
grqbhXEUIv,93,10
grqbhXEUIv,94,7
grqbhXEUIv,95,2
grqbhXEUIv,96,8
grqbhXEUIv,97,10
grqbhXEUIv,98,3
grqbhXEUIv,99,8
grqbhXEUIv,100,9
grwlxnXBfo,1,10
grwlxnXBfo,2,5
grwlxnXBfo,3,10
grwlxnXBfo,4,3
grwlxnXBfo,5,1
grwlxnXBfo,6,6
grwlxnXBfo,7,10
grwlxnXBfo,8,0
grwlxnXBfo,9,1
grwlxnXBfo,10,3
grwlxnXBfo,11,0
grwlxnXBfo,12,7
grwlxnXBfo,13,10
grwlxnXBfo,14,1
grwlxnXBfo,15,8
grwlxnXBfo,16,1
grwlxnXBfo,17,9
grwlxnXBfo,18,1
grwlxnXBfo,19,10
grwlxnXBfo,20,6
grwlxnXBfo,21,6
grwlxnXBfo,22,3
grwlxnXBfo,23,3
grwlxnXBfo,24,5
grwlxnXBfo,25,10
grwlxnXBfo,26,1
grwlxnXBfo,27,9
grwlxnXBfo,28,8
grwlxnXBfo,29,0
grwlxnXBfo,30,10
grwlxnXBfo,31,5
grwlxnXBfo,32,1
grwlxnXBfo,33,1
grwlxnXBfo,34,10
grwlxnXBfo,35,5
grwlxnXBfo,36,0
grwlxnXBfo,37,4
grwlxnXBfo,38,0
grwlxnXBfo,39,2
grwlxnXBfo,40,3
grwlxnXBfo,41,3
grwlxnXBfo,42,10
grwlxnXBfo,43,6
grwlxnXBfo,44,4
grwlxnXBfo,45,4
grwlxnXBfo,46,7
grwlxnXBfo,47,10
grwlxnXBfo,48,1
grwlxnXBfo,49,6
grwlxnXBfo,50,3
grwlxnXBfo,51,2
grwlxnXBfo,52,7
grwlxnXBfo,53,2
grwlxnXBfo,54,9
grwlxnXBfo,55,10
grwlxnXBfo,56,2
grwlxnXBfo,57,10
grwlxnXBfo,58,3
grwlxnXBfo,59,4
grwlxnXBfo,60,10
grwlxnXBfo,61,9
grwlxnXBfo,62,7
grwlxnXBfo,63,10
grwlxnXBfo,64,1
grwlxnXBfo,65,10
grwlxnXBfo,66,0
grwlxnXBfo,67,2
grwlxnXBfo,68,3
grwlxnXBfo,69,1
grwlxnXBfo,70,2
grwlxnXBfo,71,4
grwlxnXBfo,72,10
grwlxnXBfo,73,3
grwlxnXBfo,74,7
grwlxnXBfo,75,4
grwlxnXBfo,76,5
grwlxnXBfo,77,2
grwlxnXBfo,78,10
grwlxnXBfo,79,2
grwlxnXBfo,80,10
grwlxnXBfo,81,2
grwlxnXBfo,82,8
grwlxnXBfo,83,2
grwlxnXBfo,84,1
grwlxnXBfo,85,6
grwlxnXBfo,86,4
grwlxnXBfo,87,0
grwlxnXBfo,88,1
grwlxnXBfo,89,2
grwlxnXBfo,90,10
grwlxnXBfo,91,5
grwlxnXBfo,92,4
grwlxnXBfo,93,1
grwlxnXBfo,94,10
grwlxnXBfo,95,10
grwlxnXBfo,96,10
grwlxnXBfo,97,5
grwlxnXBfo,98,0
grwlxnXBfo,99,2
grwlxnXBfo,100,8
grvkOEDWsp,1,2
grvkOEDWsp,2,1
grvkOEDWsp,3,1
grvkOEDWsp,4,0
grvkOEDWsp,5,3
grvkOEDWsp,6,7
grvkOEDWsp,7,1
grvkOEDWsp,8,1
grvkOEDWsp,9,5
grvkOEDWsp,10,10
grvkOEDWsp,11,7
grvkOEDWsp,12,3
grvkOEDWsp,13,10
grvkOEDWsp,14,0
grvkOEDWsp,15,10
grvkOEDWsp,16,9
grvkOEDWsp,17,0
grvkOEDWsp,18,3
grvkOEDWsp,19,8
grvkOEDWsp,20,2
grvkOEDWsp,21,5
grvkOEDWsp,22,3
grvkOEDWsp,23,10
grvkOEDWsp,24,4
grvkOEDWsp,25,9
grvkOEDWsp,26,10
grvkOEDWsp,27,2
grvkOEDWsp,28,4
grvkOEDWsp,29,2
grvkOEDWsp,30,7
grvkOEDWsp,31,10
grvkOEDWsp,32,10
grvkOEDWsp,33,2
grvkOEDWsp,34,1
grvkOEDWsp,35,10
grvkOEDWsp,36,4
grvkOEDWsp,37,6
grvkOEDWsp,38,4
grvkOEDWsp,39,10
grvkOEDWsp,40,9
grvkOEDWsp,41,1
grvkOEDWsp,42,1
grvkOEDWsp,43,10
grvkOEDWsp,44,10
grvkOEDWsp,45,4
grvkOEDWsp,46,2
grvkOEDWsp,47,10
grvkOEDWsp,48,4
grvkOEDWsp,49,6
grvkOEDWsp,50,0
grvkOEDWsp,51,2
grvkOEDWsp,52,10
grvkOEDWsp,53,3
grvkOEDWsp,54,0
grvkOEDWsp,55,8
grvkOEDWsp,56,1
grvkOEDWsp,57,5
grvkOEDWsp,58,4
grvkOEDWsp,59,10
grvkOEDWsp,60,10
grvkOEDWsp,61,10
grvkOEDWsp,62,3
grvkOEDWsp,63,1
grvkOEDWsp,64,6
grvkOEDWsp,65,1
grvkOEDWsp,66,5
grvkOEDWsp,67,6
grvkOEDWsp,68,1
grvkOEDWsp,69,3
grvkOEDWsp,70,0
grvkOEDWsp,71,2
grvkOEDWsp,72,7
grvkOEDWsp,73,10
grvkOEDWsp,74,2
grvkOEDWsp,75,4
grvkOEDWsp,76,5
grvkOEDWsp,77,1
grvkOEDWsp,78,10
grvkOEDWsp,79,5
grvkOEDWsp,80,2
grvkOEDWsp,81,6
grvkOEDWsp,82,6
grvkOEDWsp,83,2
grvkOEDWsp,84,3
grvkOEDWsp,85,3
grvkOEDWsp,86,10
grvkOEDWsp,87,10
grvkOEDWsp,88,10
grvkOEDWsp,89,9
grvkOEDWsp,90,10
grvkOEDWsp,91,0
grvkOEDWsp,92,5
grvkOEDWsp,93,0
